,Abnormal Images,Normal Images,Epoch,Threshold,TP,FP,TN,FN,TPR,FPR,ACC,Precision,Recall,F1,F2,AUC,AUPR
0,278,2500,0,0.036215995,133,266,2234,144,0.48014440433212996,0.1064,0.8520518358531317,0.3333333333333333,0.4784172661870504,0.3929098966026588,0.3567625133120341,0.7864402877697843,0.27169575631422055
1,278,2500,1,0.18252061,96,58,2442,181,0.34657039711191334,0.0232,0.9136069114470843,0.6233766233766234,0.34532374100719426,0.4444444444444444,0.5400890868596883,0.8315453237410071,0.43751725269347247
2,278,2500,2,0.31389126,107,42,2458,170,0.3862815884476534,0.0168,0.9233261339092873,0.7181208053691275,0.38489208633093525,0.5011709601873536,0.6150341685649202,0.8469244604316546,0.5106544692421746
3,278,2500,3,0.4511547,95,22,2478,182,0.34296028880866425,0.0088,0.9262059035277178,0.811965811965812,0.34172661870503596,0.4810126582278481,0.6400000000000001,0.8484561151079136,0.5350619243560734
4,278,2500,4,0.3878763,112,36,2464,165,0.4043321299638989,0.0144,0.9272858171346292,0.7567567567567568,0.4028776978417266,0.5258215962441315,0.6464530892448512,0.8472129496402879,0.5391706298385475
5,278,2500,5,0.33974934,129,35,2465,148,0.4657039711191336,0.014,0.9337652987760979,0.7865853658536586,0.46402877697841727,0.583710407239819,0.6929637526652451,0.858651798561151,0.573740917974848
6,278,2500,6,0.41517112,109,24,2476,168,0.3935018050541516,0.0096,0.9305255579553636,0.8195488721804511,0.3920863309352518,0.5304136253041363,0.6756756756756758,0.859968345323741,0.5837820405141844
7,278,2500,7,0.33779633,131,59,2441,146,0.4729241877256318,0.0236,0.925845932325414,0.6894736842105263,0.4712230215827338,0.5598290598290598,0.6333973128598848,0.84936690647482,0.5453663424603049
8,278,2500,8,0.41348982,113,27,2473,164,0.40794223826714804,0.0108,0.9308855291576674,0.8071428571428572,0.4064748201438849,0.5406698564593302,0.676959619952494,0.8584906474820143,0.5766512360930165
9,278,2500,9,0.3277951,110,45,2455,167,0.3971119133574007,0.018,0.9233261339092873,0.7096774193548387,0.39568345323741005,0.5080831408775982,0.61529933481153,0.8385460431654677,0.5102121548117028
10,278,2500,10,0.42096388,118,29,2471,159,0.4259927797833935,0.0116,0.9319654427645788,0.8027210884353742,0.4244604316546763,0.5552941176470588,0.6839080459770114,0.8501338129496403,0.5833518419734074
11,278,2500,11,0.38153246,119,35,2465,158,0.4296028880866426,0.014,0.9301655867530597,0.7727272727272727,0.42805755395683454,0.5509259259259259,0.6681514476614698,0.8553568345323741,0.578543723123555
12,278,2500,12,0.31222174,142,39,2461,135,0.5126353790613718,0.0156,0.9370050395968322,0.7845303867403315,0.5107913669064749,0.6187363834422659,0.7107355864811133,0.8604834532374099,0.5945330629985766
13,278,2500,13,0.34594935,132,35,2465,145,0.47653429602888087,0.014,0.9348452123830093,0.7904191616766467,0.4748201438848921,0.5932584269662922,0.7,0.8639884892086329,0.5954826879301081
14,278,2500,14,0.444923,116,23,2477,161,0.4187725631768953,0.0092,0.9334053275737941,0.8345323741007195,0.4172661870503597,0.5563549160671463,0.698090692124105,0.8513726618705035,0.5864033838940357
15,278,2500,15,0.34374374,135,43,2457,142,0.48736462093862815,0.0172,0.9330453563714903,0.7584269662921348,0.4856115107913669,0.5921052631578946,0.6841046277665996,0.852210071942446,0.5818672248900612
16,278,2500,16,0.37374324,117,28,2472,160,0.4223826714801444,0.0112,0.9319654427645788,0.8068965517241379,0.420863309352518,0.5531914893617021,0.6844547563805105,0.8617539568345324,0.5780580213093293
17,278,2500,17,0.36807325,133,30,2470,144,0.48014440433212996,0.012,0.9370050395968322,0.8159509202453987,0.4784172661870504,0.6031746031746033,0.7173447537473234,0.8563539568345324,0.611549506425735
18,278,2500,18,0.37518516,118,30,2470,159,0.4259927797833935,0.012,0.931605471562275,0.7972972972972973,0.4244604316546763,0.5539906103286385,0.6807780320366132,0.8577755395683452,0.6033470716733591
19,278,2500,19,0.30977646,152,38,2462,125,0.5487364620938628,0.0152,0.9409647228221742,0.8,0.5467625899280576,0.6495726495726496,0.7341650671785029,0.8590345323741008,0.6382606772203543
20,278,2500,20,0.35299015,142,35,2465,135,0.5126353790613718,0.014,0.9384449244060475,0.8022598870056498,0.5107913669064749,0.6241758241758243,0.7222222222222222,0.8576474820143885,0.6194553524632048
